,Speaker,Speech,Date,Type,Gender,Party,Category
1,SHRI GAURAV GOGOI,"This is a country characterised by devotion. This  country is a country of faith. In this country, we bind our diversity with goodwill  and cherish the society with a sense of service. Lord Rama belongs to everyone and  he is with us all the time. When we meet each other, we exchange greetings by saying  'Ram-Ram' in North India or Western India. What is Mahatma Gandhi's definition  of Ram Rajya? Where everyone is happy and no one is sad, this is his definition.  Gandhi ji has also said that his Hindu dharma teaches him to respect all religions,  the secret of Ram Rajya is inherent in this definition. We should ponder whether all  the backward, deprived and minorities are happy, this was the definition of Ram  Rajya by Mahatma Gandhi. But today we are seeing that crimes against Scheduled  Castes and Scheduled Tribes are on the rise. If we compare it with the year gone by,  crime has gone up by around 50 percent in the year 2023. Is this Ram Rajya? Today  the backward classes are demanding a caste census because they see that injustice is  being meted out to them, and caste discrimination is taking place. Sita Mata has also  been referred to in the Ramayana. Sita Mata never let her patience and strength  diminish, but did the Dalit daughter of Unnao, our women wrestlers, have the same  feeling when they were fighting for their rights? It is mentioned in the report of our  own Parliamentary Committee that women belonging to the Scheduled Castes are  being harassed on the basis of caste and gender and they are also sexually exploited.  After this discussion in the Lok Sabha, when all the MPs go to their respective  constituencies, they will see helplessness among the youth. Today, due to this  unemployment, the helpless Indian youth has chosen the path of drugs and crime.  Today, they helplessly arrange some funds and migrate to a foreign country. This is  the reality. We cannot deny this truth. That is why our party has been doing social  service for so many years. We are aware of the truth. We have done a lot, but still a  lot remains to be done. We too have no objection in admitting that we have made  mistakes. Whereas the Congress follows Gandhi's Ram Rajya, we walk on the path  of justice. We believe in secularism. People living in India believe in different  religions and we believe in equality of all religions. Not just scripture, but there is  so much strength in the soil of this country that binds the different languages and  faiths of 140 crore people with integrity, love and goodwill. Therefore, I would also  like to caution the ruling party that it should desist from following the path of  Nathuram. They should not allow the tradition of glorifying Nathuram either. You  should not have any hesitation in this. I would like to say that one must refrain from  exhibiting ego in one’s conduct. Ravana was killed due to his ego. It is the egoistic  approach of the government that keeps it from casting a look on rising inflation and  instability  in the country, whether it is in Manipur, Ladakh or along the border with  China. Your ego prevents you from perceiving the growing apprehension that exists  in society today, particularly among minorities. This country did not come into  existence when this Government came to Power in the year 2014, this country did  not emerge on earth on January 22, 2024. Ram Lalla was always with us. He was  with us even 500 years ago and is with us even today and when your Government is  not in Power he will be with us tomorrow also. Ram is in our hearts. There should  be love and goodwill in saying Jai Shri Ram. But bitterness and anger are always  heard in your Jai Shri Ram, why is it so? The Indian National Congress Party has  always worked to confer rights on the citizens of India in a spirit of service, inspired  by the values of Gandhiji and the guidance of Dr. Ambedkar. We also expect you to  work in a spirit of service in whatever time is left in your tenure. Let me remind you  once again that in our country there are many religions, many scriptures, many  prophets, but if there is any scripture of governance, it is only the Constitution. ","Saturday, February 10, 2024",Union Budget,M,INC,Issue
2,SHRI MADDILA GURUMOORTHY,"I would like to speak about Lord  Rama and the importance of the eternal teachings of Lord Rama. As depicted in the  Ramayana, his reign, termed as 'Ram Rajya' symbolized good governance, and  epitomised justice, welfare and happiness for all. The leadership of Lord Rama was  dedicated to fairness, compassion, and the welfare of his people above all else. The  Lord Venkateshwara Temple in my parliamentary constituency at Tirupati is one of  the most famous temples in our country. Anjanadri Hill, one of the seven Hills, is  supposed to be the birthplace of Hanuman. Another location Lepakshi is referenced  in the Ramaana which stands as a testament to the widespread reverence of Lord  Rama’s legacy.  By developing these sites, we will enhance India’s cultural heritage  tourism as well as reinforce the bonds of unity and spirituality inspired by Lord  Rama. We request the Government for comprehensive development and better  connectivity to all religious sites nationwide to further enrich our cultural heritage  and thereby strengthen the fabric of our society.","Saturday, February 10, 2024",Union Budget,M,YSR Congress,Call For Action
3,SHRI RAMPRIT MANDAL,"I would like to express my gratitude to you  for giving me the opportunity to participate in the discussion on the Construction of  the Historic Shri Ram Temple and the consecration of Shri Ramlala. The name of  Ram is unforgettable to all of us on every occasion of life and the unveiling of the  idol of Ramlala and construction of the temple by our Hon. Prime Minister has been  a historic work. I request the Hon. Prime Minister that just as the Ram Mandir was  built in Ayodhya, similarly a grand temple should also be built at  Sitamarhi  in  Bihar, which is the birthplace of Maa Janaki.","Saturday, February 10, 2024",Union Budget,M,JDU,Call For Action
4,SHRI PRATAP CHANDRA SARANGI,"Lord Ram is a symbol of dignity.  Lord Shri Ram is the ideal of supreme character all over the world. He is also a  symbol and ideal of social harmony and national unity. Lord Rama incarnated to  organize society. He gave respect to the forest dwellers belonging to the neglected  section of the society who joined his army and he displayed social harmony through  his conduct and awakened the consciousness of love for the people. Some anti-social  elements are trying to destroy the Sanatan values and create confusion. The king  worships the people in the rule of the Hon. Prime Minister. The poor, mothers, youth  and common people are worshipped here. Lord Shri Ramchandra is the epitome of  our faith. He is the identity, pride and self-respect of this nation. On the basis of all  the evidence, the Shri Ram temple has been constructed as per the decision of the  Hon’ble Court. This temple is our National temple and Lord Shri Ram is a symbol  of virtues. Matri Bhakti, Pitri Bhakti, Guru Bhakti, patriotism, sacrifice, and national  effrontery all these find their basis in Lord Shri Ram. The previous Government had  compromised the defence of the nation but our Government, be it Pulwama or Uri,  responded through surgical strikes. We will not tease anyone, but we will not leave  anyone who teases us. The temple was built at the birthplace of Lord Rama by his  son Kush. This temple was destroyed by a foreign invader in 1033. Then in 1528,  the foreign invader Babar sent his commander called Mir Baqi Khan and got the  temple demolished. Efforts were made to free this temple continuously for 500 years.  Those supporting the Ram Temple never carried weapons with them. Hundreds of  Kar Sevaks died in the Ram Mandir movement. It is impossible to imagine India  without Ram. Only Ram can unite this country. When this country was divided on  caste lines owing to the recommendations made by the Mandal Commission, Ram  Temple ushered in unity to this country. It tied the country in the thread of unity.  During the tenure of our Government, this temple was inaugurated and Lord Shri  Ram was also consecrated. Lord Ram was completely non-communal, he  emancipated the fallen and embraced everyone. Lord Shri Ram is the symbol of this  universal sense of values. Our Government also works on the principle of 'Sabka  Saath, Sabka Vikas, Sabka Prayas and Sabka Vishwas'.","Saturday, February 10, 2024",Union Budget,M,BJP,Appreciate
5,SHRI MALOOK NAGAR,"Unprecedented work has been done during the  17th Lok Sabha under the leadership of Hon. Speaker. We, the Members of all  parties have done a very good job working together.","Saturday, February 10, 2024",Union Budget,M,BSP,Appreciate
6,SHRI HANS RAJ HANS,"We are fortunate that we were born in India and  that Ayodhya is located in India. We deem ourselves to be lucky enough to belong  to the tradition of chanting Rama’s name. If one wishes to know Ram, harbouring  love and compassion is a prerequisite for it. He is unintelligible and beyond  comprehension if one is deficient in these two jewels. Prayers for the fulfilment of  wishes and inherent desires of the people have been granted by Him. The day of  22nd January ensued at the altar of innumerable lives dedicated to this cause that  enabled us to breathe a sigh of relief today. Lord Rama is the embodiment of love  and humanity. If one is inquisitive to know Lord Ram and be familiar to Him, one  will have to first espouse the essence of equality. The Socialism that we fondly refer  to quite often is attributed to Lord Rama. Today we talk big but one must not consign  it to oblivion that Lord Ram is such an entity that made sacrifices.  India also needs  Lord Rama at this time. Let’s take this nation to be Rama and act like Hanuman. Our  illustrious, vigorous and sage-like Prime Minister had fair and sacrosanct intentions,  he had reverence for Lord Rama, which is why the most important role of carrying  out of PranPratishtha was bequeathed to Him by the Almighty. If one really wishes  to be an ideal son, brother and good human being and have to even emerge as an  administrator steering the vehicle of good governance, one will have to adopt the  philosophy and the patterns of His conduct in life.","Saturday, February 10, 2024",Union Budget,M,BJP,Neutral
7,SHRI ARVIND SAWANT,"I am very happy that Lord Rama is being  discussed in this House today. The first political slogan in this country -‘Say with  pride we are Hindus’ was given by the venerable Bala Saheb Thackeray. The history  of 1992 is well known.  The Karsevaks had a big role in this. We mustn't forget them.  After the demolition of structure in 1992, Bala Saheb Thackeray ji was the only  person in India who had taken this responsibility. We believe that the temple of Lord  Ramchandra ji is our faith in this country, our identity, and the identity of this  country.All I would say is that Prabhu Ramchandra was the epitome of sacrifice,  commitment and truth. Lord Ramchandra Ji was sent into exile. On the demand of  His stepmother Kaikeyi, His father King Dasharath ordered Lord Rama Chandra to  go to the forest. He renounced power and went into exile. Ravana abducted Sitaji,  which led to the battle between Lord Ram and Ravana culminating in the killing  of Ravana. Prabhu Ramchandra ji did not take the reign. He bequeathed the seat  of power to Vibhishana.  The battle of Kishkindha took place. He stood with Sugriva  in the battle of Kishkindha. Kishkindha was won, however, Lord Ramchandra Ji  handed over the reign to Sugriva. This example is very important. Through these  precedents, I wish to highlight the critically important aspect that   Lord Ram ruled  the hearts of the people without assuming the seat of power and thus he became the  soul of the whole of India.","Saturday, February 10, 2024",Union Budget,M,Shiv Sena,Issue
8,SHRI SUNIL KUMAR PINTU,"We were elected to the 17th Lok Sabha under  the leadership of the Hon'ble Prime Minister. Our name has been recorded in history  as we were the last Member in the old Parliament House and could become the voice  of the people of our constituency as the first Member in the new House. I come from  Sitamarhi, the birthplace of Mother Sita. I respectfully salute the people of Sitamarhi  for giving me the opportunity to raise the problems of my area and get the  Government to develop my area or solve their problems. I want to tell everyone in  the House that just as we have witnessed the abrogation of Article 370, passing laws  regarding triple talaq, women's reservation and construction of temples in the 17th  Lok Sabha, in the same way, we can witness the construction of grand temple of  Sitaji in the 18th Lok Sabha.","Saturday, February 10, 2024",Union Budget,M,JDU,Call For Action
9,SHRI RAHUL RAMESH SHEWALE,"Before being elected to this Lok  Sabha, we contested elections with NDA and we were all elected MPs. But,  unfortunately, our leadership took a different decision after the Lok Sabha polls. We  didn't like that decision from that point on. Later, the Chief Minister of Maharashtra  state decided to join the NDA once again. We have full faith that Hon'ble Prime  Minister Modi will fully cooperate in taking forward the ideas of Balasaheb  Thackeray Ji. He fulfilled that faith. He fulfilled Balasaheb Thackeray’s dream of  abrogating Article 370 and constructing a grand Shri Ram temple in Ayodhya. The  17th Lok Sabha is a historic Lok Sabha for us. In the tenure of five years, we have  fulfilled all the promises made to the people like Article 370, Women's Reservation  Bill. I would also like to thank the voters of South Central Mumbai who elected me  here.","Saturday, February 10, 2024",Union Budget,M,Shiv Sena,Appreciate
10,SHRI RAM MOHAN NAIDU KINJARAPU,"I would like to congratulate  our 140 crore Indians on  the Pran Pratishtha of Shri Ramlala in Ayodhya. Lord Ram  has been a part of our country’s identity for thousands of years. Lord Ram is  omnipresent from Kashmir to Kanyakumari and from Somnath to Pasighat. He is  celebrated not only in our country but also across various other countries like  Indonesia, Myanmar, Vietnam, Thailand, Laos, etc. We remember Lord Ram in joy  as well as in sadness. Even before I knew anything about politics, I knew about the  virtues of Lord Ram and Ramayana. At the end of his great epic journey during his  vanvas for 14 years, he brought the integration of North and South India. We the  Telugu people of Andhra Pradesh have a very close association with the journey of  Lord Shri Ram, especially with places like Bhadrachalam, which is also called as  Dakshin Ayodhya.  He showcased such qualities that people across religions and  civilisations have a deep respect for him. His ideals and morals on governance which  we dearly called  ‘Ramrajya’ have long been considered to be the pinnacle of how a  Government must work. When Lord Ram decided to go to Lanka to protect Maa Sita  from the clutches of Ravana, his army did not consist  only of  one group. He chose  to work collectively with Lord Hanuman to Jatayu and from Laxshman to  Vibhishan.  Even a small animal like a squirrel came in support of Lord Ram. They  were all with him not merely because he was God but because he inspired them to  come together and achieve collective greatness. Similarly, Ram Rajya speaks about  the necessity of all parts of society working collectively together. A society cannot  grow if there is no collective growth.  Actually, Lord Ram is prevalent across all  sections and religions of our country. His ideals are relevant from education to  foreign policy and from governance to communal harmony.","Saturday, February 10, 2024",Union Budget,M,TDP,Neutral
